docID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
21,games,seeking,game,male,attracted,casual,investors,stereotypical,gaming,gamer,wont,product,created,released,constituted,pushing,launch,company,summed,mobile,traditional,strategy,able,player,successful,blown,female,departure,cracked,trying,paint,receiving,demographic,demographics,tried,times,received,enraged,revealed,gap,touchscreen,colors,gritty,graphics,helped,models,population,involved,movement,individual
22,analysts,sales,looking,seeking,flooring,investors,company,forecast,announced,update,key,created,inventory,seeing,regarding,considered,hammered,expected,products,receiving,bottom,hear,rest,guided,recent,providing,data,including,curious,received,increased,weeks,investment,linked,lot,condensed,bounced,individual,quarter,billion,weak,managers,negate,press,prior,product,increase,million,bad,plans
23,investors,volatility,suggested,short,instruments,month,language,thereafter,recommended,meeting,developments,policy,hike,market,created,hemmed,close,value,risk,patient,capital,exports,ago,considering,published,dropped,concern,rate,monetary,realized,easing,statement,cost,gain,trailing,receiving,dollar,signed,term,sentence,environment,forward,data,hedge,including,achieved,peace,creation,assessment,sharply
24,cloud,hosting,growth,trailing,public,services,revenue,acknowledged,growing,investors,taking,maturity,created,numbered,company,deceleration,analysts,decelerate,reaching,web,continuously,receiving,multiple,service,received,calling,linked,hiking,opinion,grown,individual,limited,conservative,industry,deserving,infrastructure,priced,leaders,retest,quarterly,changed,business,managers,companies,product,forced,own,plans,previous,free
25,guided,short,services,ancillary,replaceable,closing,driven,management,excluding,created,moved,profitability,receiving,investors,believe,guiding,providing,misplaced,thesis,increasing,service,received,product,am,goalpost,analyst,offered,delaying,price,moving,listed,held,individual,completely,community,absurdly,underwhelming,pricing,existential,uphill,managers,sales,huge,rosy,cost,existing,plans,share,generate,convinced
26,lockup,expiration,short,investors,seeking,float,regarding,data,approximately,created,digested,tripled,recently,considered,dropped,update,described,ordinary,upcoming,receiving,risen,containing,including,trading,received,nearly,million,weeks,becoming,investment,hit,starting,earnings,held,individual,uneasy,rise,low,vested,stock,managers,product,plans,couple,share,bit,prospectus,confusing,probably,name
27,growth,timeline,metrics,created,monetization,adjusted,metric,user,demographics,longs,bearish,data,revenue,moment,rev,company,earnings,operating,performance,meteoric,investors,calculated,short,guidance,ad,found,companies,average,modeled,note,six,valued,floundering,addressed,content,similar,match,lumpy,multiplying,considered,directly,terms,keeping,challenged,looking,thrilled,column,key,modeling,noted
28,engagement,yy,stabilizing,challenged,ad,revenue,engaged,shrinking,experienced,created,communicating,quarter,deceleration,monetization,remains,tide,stabilized,receiving,investors,highlighting,bearish,platforms,growth,received,holidays,metrics,downside,profile,indicated,individual,active,metric,forward,losing,managers,hardship,product,plans,driving,initiation,hiring,stabilization,shortly,target,company,popularity,vertical,deterioration,seasonality,contact
29,yy,cautious,representing,devices,carriers,investors,competitive,growth,reported,created,pulled,smart,device,joining,challenged,andor,coupled,products,receiving,forward,promoted,aggressively,market,compelling,useful,overall,subscale,received,product,charging,growing,attended,compete,individual,mix,recent,offering,company,microphone,managers,ie,user,booth,trait,wearable,plans,trend,interface,associated,connected
30,lumber,flooring,investors,seeking,formaldehyde,wood,looking,contract,created,released,compressed,terms,tested,contained,scandal,approaching,found,received,enforced,sell,revealed,saying,heading,economic,moving,delivered,headed,outlined,cultivation,laminate,held,individual,projects,company,buy,unhealthy,plethora,stock,managers,homes,mills,shun,product,opportunities,ripe,lost,compliant,myriad,saturated,fishing
31,filter,models,terms,investors,designing,rejection,manufacturing,cooperation,expertise,created,customer,generated,supposedly,duplexer,frequency,rearranging,andor,solutions,band,design,derived,trying,receiving,selection,loved,supposed,spin,watching,tried,conference,apparently,company,received,happening,revealing,edge,management,components,involved,workable,individual,stated,lower,honesty,managers,scared,continue,inferior,product,themselves
32,sales,products,mm,recruiting,company,recruitment,investors,direct,multilevel,pyramid,terminated,injunction,claims,selling,preferred,declining,andor,paying,revenue,derived,top,resell,compensation,oxidative,scheme,purchased,increased,health,firms,distributor,active,decline,product,falling,plan,depending,barring,created,introduced,rapidly,focusing,associated,starter,elements,marketing,growth,expensive,regarding,provided,income
33,looking,investors,buyback,company,buying,growth,data,ignition,sense,created,cash,stock,cheap,seeing,coupled,noted,receiving,primed,hardly,sensing,preserving,forward,valuing,received,auto,consistently,switch,income,recall,net,growing,grown,individual,cyclically,cloth,giving,sacred,capital,announced,undervalued,wont,spending,managers,sales,companies,bandwagon,product,plans,failed,taper
34,companies,emerging,markets,created,opportunities,individual,managers,investment,income,considering,yield,receiving,produced,fundamentally,pushed,investors,imposing,foreign,overlooked,resulting,designed,diversification,index,converted,affecting,globally,investing,received,borders,holdings,offered,invested,downside,moving,involved,world,spreading,espouse,priced,added,risk,attractive,lowering,abound,localized,doctrine,undervalued,common,ie,financial
35,foods,sales,market,comparable,recent,definition,initiatives,analysts,organic,company,stores,earnings,fiscal,natural,weeks,reduced,share,wrong,looking,competition,discussed,store,grocery,regards,including,defined,received,revealed,call,markets,line,growing,goals,below,investors,conference,industry,campaign,basis,grocer,saturation,lowered,slowly,management,created,released,shielding,method,wasted,past
36,projects,fourth,quarter,increased,transmission,opportunities,million,markets,trying,terms,guess,backlog,maybe,bidding,gross,utilization,released,call,continue,distribution,sort,approximately,looking,mean,announced,electrical,capacity,equipment,growth,including,little,project,included,tied,seeing,margin,conference,increase,expansion,couple,growing,bit,subcontractor,aging,contract,wondering,infrastructure,driven,spending,partially
37,interpreted,concerning,question,sales,terms,brands,course,situation,developments,achieved,provisioning,considered,looking,development,effect,efficiency,brand,increasing,remains,understand,cost,aligned,sort,engine,volume,regards,talking,coming,passenger,ratio,taking,earnings,positive,plant,markets,particularly,companies,rolled,basis,released,putting,attained,market,focusing,thinking,referred,outlined,truck,manner,consider
38,communities,rental,sales,million,occupancy,homes,community,housing,manufactured,acquired,representing,acquisitions,increased,lots,home,existing,increase,rentals,projects,properties,growth,houses,approximately,diluted,rent,taking,purchased,fantastic,expense,adding,substantial,total,operations,rented,vacant,terms,securities,developed,quarter,demand,believe,share,including,call,occupied,lot,maintenance,apartment,excluding,created
39,combination,data,colitis,terms,included,clinical,treated,trial,dose,approved,looking,plus,triple,observed,clinic,million,formulation,consolidated,evaluable,response,drug,thanks,indiscernible,heme,including,study,seeing,excited,toxicity,approximately,question,quarter,liver,community,activated,joining,therapeutics,escalation,raised,lymphoma,adding,safety,conference,starting,agent,call,patient,yeah,preclinical,nodal
40,sales,trying,million,hypotension,looking,starting,lot,distributor,actually,products,moving,companies,bit,forward,terms,expected,fourth,quarter,obviously,reimbursement,drug,force,business,seeing,able,product,clinical,staff,generic,maybe,call,taking,operational,development,growth,depending,putting,regulatory,hospitals,net,selling,dog,program,revenue,little,company,adding,oral,manageable,recorded
41,fish,sales,nutrition,quarter,opportunities,increased,million,fourth,fishing,quota,products,protein,seeing,terms,meal,segment,facilities,cost,gross,animal,looking,trying,oil,little,processing,assets,human,pet,capacity,supply,sold,margin,season,increase,utilized,adjusted,production,normalized,bit,food,operations,progress,half,decreased,concentration,probably,recorded,coming,diluted,acquisition
42,drilled,production,million,completed,terms,oil,capital,cost,flowing,drilling,remaining,steaming,seeing,spacing,reserves,approximately,strong,resource,maybe,structure,light,including,program,included,offsetting,sanctioned,provided,tested,averaged,funding,call,promissory,expected,assets,producing,produced,industry,bit,land,cash,core,pressure,balance,flow,goal,supported,pleased,released,retaining,budget
43,synergies,sales,stores,million,legacy,quarter,seeing,opportunities,guidance,provided,customer,brand,margin,thanks,growth,clothing,tailored,including,achieved,store,terms,half,rate,spring,baseline,gross,fourth,business,tuxedo,adding,opportunity,systems,driven,updated,product,brands,amount,expect,comp,financial,line,integration,call,expected,products,morning,weeks,costing,realized,existing
44,data,clinical,study,dose,lymphoma,preclinical,terms,including,patient,development,excited,mg,escalation,cohort,enroll,tumor,looking,implicated,program,expansion,forward,activity,safety,providing,mutant,thanks,solid,tolerability,additional,seeking,trial,overexpression,evaluating,malignant,achieved,ongoing,taking,follicular,literature,response,population,control,seeing,opportunity,pediatric,updated,exciting,germinal,potential,plans
45,investors,rising,companies,funds,rise,consumer,dividend,according,increasing,dropping,exposed,headed,anticipated,risk,drop,staples,consistently,created,reiterated,recent,indeed,favor,weighting,allocated,banks,dropped,faster,increase,rally,industries,roughly,market,discussed,expect,individual,receiving,spending,slipped,delayed,rattled,flee,designed,capitalize,following,historic,unemployment,rate,sharply,received,coming
46,including,drilling,producing,drilled,net,acreage,spud,operations,oil,reserves,gross,company,production,gas,million,proved,basin,limestone,operator,recognized,joining,awaiting,reduced,budgeted,call,provided,looking,conference,morning,region,produced,transcript,initiatives,located,modified,guess,increased,approximate,operating,moving,development,continuing,undeveloped,scheduled,testing,approximately,completion,sales,depletion,revenue
47,sterilization,acetylene,manure,increased,combustion,received,announced,cutting,fuel,joining,gas,call,partners,hog,sales,navy,opportunities,industry,system,equipment,lots,swine,confirmed,versus,coal,efficiency,testing,company,focused,regarding,water,looking,continuing,enhanced,initiated,farm,opposed,believe,transcript,test,existing,achieved,waste,degrees,lines,development,spoke,conference,metal,agricultural
48,investments,quarter,portfolio,million,looking,placeholder,income,rated,syndicated,realized,share,core,capital,credit,investment,trying,companies,secured,excluding,opportunities,debt,increased,taxable,weighted,call,fourth,regards,fiscal,earnings,including,resulting,dividend,net,credits,guess,yield,raised,expertise,average,talking,terms,taking,produced,maybe,completed,equity,transcript,company,securities,existing
49,sales,stores,quarter,inventory,tools,initiatives,guidance,closures,seeing,store,morning,optimization,operating,million,fourth,systems,range,basis,adjusted,segmentation,customer,weeks,margin,weather,comp,joining,focusing,tool,markdown,thanks,positive,focused,call,increased,impact,promotional,impacted,financial,assortment,share,trying,completed,expect,including,driven,versus,progress,strategy,rationalization,nice
50,biopharma,clinical,cancer,increased,panel,million,genomic,genetics,reimbursement,terms,oncology,looking,lot,unique,putting,myeloma,quarter,synergies,question,test,diluted,including,services,focused,gross,business,revenue,discovery,pharma,sales,continue,companies,growing,call,acquisitions,fourth,joining,taking,backlog,disease,meaningful,lymphoid,targeted,research,leading,sequencing,leaders,team,driven,model
51,adjusted,net,increased,revenue,growth,substantial,quarter,question,expect,terms,obviously,remittance,paying,services,marketing,driven,guidance,payment,merchants,fourth,share,billion,affected,market,speaking,volume,excluding,thanks,normalized,actually,mean,vertical,increase,money,basically,profit,cushion,primarily,financial,prior,situation,nominated,products,call,guys,kiosk,cash,yes,hi,yeah
52,fiscal,sales,satellite,million,opportunities,microwave,expected,products,earth,achieved,quarter,segment,station,contract,systems,believe,product,consolidated,announced,revenue,seeking,line,lower,data,updated,conference,amplifier,timing,percentage,net,associated,regards,recorded,government,significant,platforms,call,expect,received,operating,anticipated,half,communications,backlog,leadership,continue,guidance,additional,diluted,markets
53,created,investors,received,audio,individual,call,managers,product,shortly,contact,forward,data,following,completion,smarter,stream,flagship,active,faster,live,click,conference,prohibitive,reply,learn,conversation,submit,begin,message,request,subscription,ready,error,else,professional,service,cost,sell,investment,investor,personal,information,fund,look,the,be,and,of,a,in
54,sales,transition,period,inventory,initiatives,million,allocation,stores,comparable,regarding,call,millennial,relocation,released,fiscal,related,season,focused,merchandise,financial,looking,winning,customer,morning,earnings,discussed,transformation,approximately,talent,transcript,prior,specialty,providing,including,comp,model,increasing,culture,cash,gross,guidance,store,increased,consideration,future,promotional,key,fungible,dividend,outlined
55,created,investors,received,audio,individual,call,managers,product,shortly,contact,forward,data,following,completion,smarter,stream,flagship,active,faster,live,click,conference,prohibitive,reply,learn,conversation,submit,begin,message,request,subscription,ready,error,else,professional,service,cost,sell,investment,investor,personal,information,fund,look,the,be,and,of,a,in
56,investing,analysts,models,born,learn,learning,realized,starting,assistant,investors,simple,business,smarter,managers,concept,companies,invest,gym,created,leaping,moved,understand,try,performing,excel,spreadsheet,writing,terms,practical,virtual,ideas,role,knowing,papers,guy,investment,ordinary,trying,receiving,investor,rated,shipping,cursed,difficult,style,slammed,amazing,model,jumble,converted
57,created,investors,received,audio,individual,call,managers,product,shortly,contact,forward,data,following,completion,smarter,stream,flagship,active,faster,live,click,conference,prohibitive,reply,learn,conversation,submit,begin,message,request,subscription,ready,error,else,professional,service,cost,sell,investment,investor,personal,information,fund,look,the,be,and,of,a,in
58,performance,investing,hour,key,asset,the,be,and,of,a,in,to,have,it,i,that,for,you,he,with,on,do,say,this,they,at,but,we,his,from,not,n't,by,she,or,as,what,go,their,can,who,get,if,would,her,all,my,make,about,know
59,performance,asset,comp,bonus,incentive,investing,pension,screen,class,check,annual,yield,key,raise,total,value,the,be,and,of,a,in,to,have,it,i,that,for,you,he,with,on,do,say,this,they,at,but,we,his,from,not,n't,by,she,or,as,what,go,their
60,insulin,device,mealtime,basal,performance,delivery,sales,required,covered,mechanical,hiring,diabetes,deck,skin,sole,continuous,products,thereby,investing,background,version,medical,commercial,offering,stage,company,common,type,process,firm,period,hour,demand,key,set,current,asset,rate,financial,product,stock,people,the,be,and,of,a,in,to,have
61,downgraded,sales,tech,slashed,downgrade,missed,received,performance,brushed,abate,depressed,spite,asset,warning,investing,giant,screen,materially,selling,extra,aggressive,pricing,bottom,class,check,currency,especially,near,impact,yield,target,key,line,revenue,strong,dollar,term,week,product,report,the,be,and,of,a,in,to,have,it,i
62,returned,investors,performance,listed,asset,companies,mainland,transparent,listing,liquid,exciting,investing,efficient,screen,solution,participate,success,access,press,story,launch,class,check,name,fund,release,yield,key,exchange,stock,the,be,and,of,a,in,to,have,it,i,that,for,you,he,with,on,do,say,this,they
63,cloud,growth,reiterated,provided,doubled,hs,guidance,highlighted,adoption,crying,performance,helped,headed,beat,opportunities,assets,bc,bottle,secular,spite,revenue,strong,meaning,asset,data,dynamic,subscriber,investing,entirely,yesterday,screen,stock,selling,services,transcript,healthy,conservative,usually,anticipate,table,privacy,company,expansion,solid,soon,finally,class,check,customer,online
64,monoclonal,therapeutic,derived,occurring,produced,naturally,interleukin,cancer,designated,variety,immunization,dermatitis,engineered,colorectal,vascular,stage,metastatic,inflammation,biopharmaceutical,antibody,diabetes,branded,protein,deck,performance,developed,animal,lead,clinical,investing,disease,treatment,manufacturing,pipeline,candidate,effective,potentially,company,occur,common,development,firm,system,review,additional,key,support,set,asset,product
65,raised,seeking,investors,pulling,declared,received,sold,approved,managers,created,valued,scraped,analysts,funding,deciding,considering,chicken,realized,easing,economic,boosted,joined,planned,stripped,delayed,data,slashed,valuing,lending,ephemeral,courts,district,immediate,revealed,de,yesterday,saying,plunging,appliances,starting,psychosis,colors,shrinking,earnings,growing,goals,imposed,passed,round,formaldehyde
66,according,including,batteries,moving,firms,data,lenders,bonus,sales,named,created,released,analysts,claims,tanker,tobacco,rose,considered,oil,plain,target,looking,sliding,earnings,discussed,store,enhanced,maturing,sitting,decided,investors,rumored,tapped,slipped,salary,interim,production,street,stimulus,increasing,factory,carrying,declared,earned,missed,organizing,received,rising,poised,weeks
67,created,utility,data,trading,frame,investors,hike,past,upbeat,rate,funds,five,space,pushing,lost,raised,markets,popular,adding,published,yield,economy,products,pushed,hitting,rattled,shed,dividend,negative,unemployment,received,product,rising,surging,delivered,red,borrowed,timing,individual,staying,added,marks,strength,roughly,managers,bound,improving,million,rocky,estimated
68,euro,sales,chairwoman,plans,rose,yesterday,announced,companies,depending,created,introduced,dismissed,reiterated,mm,raised,annual,committee,included,attracting,dropped,rebounding,pledged,global,dollar,spending,pushed,investors,month,shifting,hitting,replaced,including,shopping,platforms,increasing,pressure,purchased,app,program,emerging,aerodynamic,fallen,received,facing,weeks,marking,developing,confirmed,calling,starting
69,published,plans,increasing,weeks,investors,government,announced,lenders,equities,running,created,released,investigating,archive,assembled,rushing,considered,exports,dropped,terms,keeping,cut,week,ideas,tumbled,paying,played,global,return,signed,slipped,subdued,soon,returning,providing,data,including,kept,elected,flagged,borrowing,probes,received,bracing,drop,developers,confirmed,saying,month,price
70,expected,created,plans,music,analysts,seeking,looking,sales,priced,service,reported,introduced,attracted,fitness,shifted,banks,according,week,tested,stretched,boosted,noted,prerecorded,played,produced,swept,investors,month,powered,data,winter,canceled,app,blamed,received,stress,increased,weeks,offered,impacted,economy,disapprove,delivered,subscription,passed,earmarked,totaled,payments,firms,listed
71,investors,lung,cancer,weeks,comment,producers,data,oil,sales,reported,created,pulled,analysts,growth,disclosed,sending,expected,rethinking,risen,pumped,surpassing,liquefied,affecting,received,bracing,squamous,delaying,straight,hematologic,individual,approved,fell,talking,bid,quick,acknowledgement,continuing,metastatic,lowered,managers,vintage,chemotherapy,service,product,cost,enterprises,thermal,production,plans,extraordinarily
72,sales,appointed,investors,rising,saying,easing,institutions,firms,held,announced,lowered,earnings,reported,named,created,moved,firearm,yesterday,joining,bank,raised,services,ballot,cut,pace,target,universal,rejected,sending,investment,investments,top,opposed,fueled,officer,film,replaced,including,boom,following,increasing,reversed,executive,reading,entertainment,rate,received,brazenly,increased,coming
73,pushing,announced,yesterday,suggested,servicing,remains,investors,sales,reported,created,putting,plans,board,beating,misled,considered,net,laying,easing,automaker,company,routing,ranging,country,dented,fueled,left,data,including,bailout,declared,fined,service,probes,received,sell,loss,mortgage,confirmed,ship,saying,heavily,month,earnings,helped,posted,passed,outlined,carriers,individual
74,seeking,received,dipping,published,winners,fell,investors,agreed,growth,created,competing,acquired,rose,consumer,archive,bid,terms,virtual,forming,ideas,sliding,rejected,assessing,glass,earnings,discussed,assurances,return,completed,returning,initiatives,executive,central,fallen,award,climbing,facing,symmetrical,head,charging,ago,letter,saying,buying,cut,weekend,selling,performance,owned,institutions
75,sales,approved,announced,bailout,starting,extension,earnings,created,pulled,dividend,broadband,included,laid,profit,banks,dropped,terms,stores,expected,vote,hurdle,investors,risen,patent,surpassing,probe,production,data,highlighting,initiatives,spoke,growth,parliament,fined,vs,supported,received,ministry,reporting,tech,output,oil,fixing,net,irrefutable,invested,share,linked,projected,demand
76,including,announced,received,named,neutrality,investors,plans,banks,earnings,chairman,net,met,sales,created,establishing,waiver,defending,deferred,representing,diplomatic,according,stores,bundling,revenue,expected,individual,decided,ranging,smashed,restoring,struck,claimed,settling,dropping,adjusted,utility,share,cyberattack,moving,remaining,jostling,passed,round,listed,volley,unifying,separate,combative,computers,offshoot
77,including,reported,released,plans,ratings,seeking,ruled,dropped,announced,yesterday,investors,data,downgrade,revenue,created,informing,analysts,misled,services,edged,omitted,defrauded,approving,testimony,flat,attempt,leaving,earnings,discussed,assurances,fourth,receiving,determined,downloaded,contraction,films,bailout,increasing,canceled,tried,declared,maintenance,vs,grilling,financial,received,chief,offered,loss,saying
78,dividend,funds,sector,paid,risk,ratio,created,expense,buy,hampered,terms,looking,versus,investors,answered,index,received,measured,score,short,elapse,reconstituted,individual,return,missing,annualized,forward,perform,chart,applied,analysis,managers,watch,product,track,yielding,assets,overall,purchase,deviation,basis,taxable,shortly,impression,existence,adequate,contact,closure,data,diversification
79,railway,fines,flat,banks,firms,probing,created,midnight,markets,broadband,ruled,wallet,representing,shelved,oil,testimony,keeping,investors,closed,deal,struck,data,fleeing,including,finding,increasing,suggested,lockout,fined,predicted,threatened,received,security,weeks,offered,logjam,fixing,yesterday,saying,starting,zone,funding,collapsed,creditors,sold,institutions,paid,earnings,market,committee
80,investors,announced,soda,published,added,fines,rose,operations,winners,agreed,data,companies,created,introduced,six,shaking,joining,refused,deal,bank,reaching,shifted,archive,centers,laid,tied,edged,provided,representing,union,cleared,expected,enhanced,euro,returning,supposed,struck,slashed,bailout,takeover,reversed,contravention,award,received,rising,poised,perfect,lender,weeks,investment
81,increasing,rose,battery,taking,agreed,managers,companies,wage,named,created,pushing,adjusted,proposed,joining,circulating,analysts,hiring,hourly,pay,adding,returned,picked,poaching,rejected,car,earnings,ranging,investors,closed,accusing,refineries,matured,including,board,fines,following,takeover,composite,declared,hired,fallen,received,offered,output,saying,enforceable,reduced,average,spokesman,spilled
82,sales,exports,gold,climbing,helped,posted,payments,crude,deal,agreed,data,vs,companies,reported,created,putting,yesterday,competing,acquired,analysts,rose,centers,rival,shutdown,dipped,loss,net,earnings,contracted,ripped,investors,closed,touched,attached,providing,valuing,installed,hired,received,increased,offered,confirmed,share,tumult,decentralized,card,administration,expressed,transmitting,surrounding
83,including,banks,reported,settling,received,profit,creditors,fell,investors,taking,data,announced,unchanged,bankruptcy,companies,created,pulled,yesterday,analysts,raised,supermarkets,disclosed,terms,appointed,overlapping,looking,earnings,expected,determined,compromise,closed,optimism,violated,breaching,accusing,pulling,agreement,merging,valuing,litigation,extension,sought,purchased,lawsuit,settlement,ephemeral,increased,pumps,maintained,overstatement
