docID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
29,policy,fed,market,rates,growth,monetary,falling,markets,china,prices,question,expectations,commodity,yuan,real,capital,isnt,economy,mean,believes
30,company,matrix,fiscal,project,service,growth,eps,epc,revenue,million,construction,doubledigit,acquisition,quarter,alpha,share,billion,seeking,track,expectations
31,million,fiscal,quarter,revenues,ebitda,business,fourth,north,adjusted,oil,leasing,pricing,call,rate,time,approximately,gas,compared,customers,yes
32,oil,news,percent,government,income,reuters,budget,finance,mexico,drop,spending,videgaray,output,cut,business,company,bank,economy,gdp,million
33,news,debt,monetary,policy,kocherlakota,economy,fed,reuters,rates,risk,public,business,fiscal,minutes,federal,market,delayed,lower,instability,official
34,news,reuters,spending,business,measure,minutes,bill,consideration,congress,delayed,house,government,boehner,decisions,thomson,information,finance,worlds,nasdaq,temporary
35,fiscal,revenue,million,ebitda,growth,pass,mountain,season,adjusted,segment,currency,call,prior,basis,resorts,guidance,increased,results,estate,range
36,rousseff,news,government,brazils,programs,business,economy,minister,taxes,levy,spending,percent,austerity,tax,social,cut,budget,finance,credit,billion
37,million,quarter,fourth,fiscal,net,facility,coffee,call,income,customers,nongaap,financial,plan,relocation,corporate,torrance,phase,cost,compared,sales
38,wed,brazil,sp,gdp,follow,fiscal,site,link,banned,dont,growth,real,economy,vs,brazilian,heres,cock,political,shit,policy
39,giii,apparel,fiscal,revenue,quarter,company,million,guidance,eps,income,margin,glance,third,growth,business,net,passing,half,fullyear,companys
40,fiscal,million,market,customers,lot,growth,quarter,security,traps,sales,revenue,platform,share,basis,customer,thats,call,business,technology,services
41,million,quarter,fiscal,third,compared,project,approximately,development,cash,commercial,expected,revenue,limoneira,property,lewis,acres,period,agribusiness,share,earnings
42,news,government,rousseff,austerity,president,congress,measures,thursday,brazil,cut,business,investors,economic,ability,governments,reuters,levy,spending,little,revenues
43,million,quarter,revenue,cloud,fiscal,compared,fourth,egain,gross,business,total,call,financial,digital,customers,loss,results,subscription,basis,conference
44,infrastructure,sp,global,index,dow,trademark,llc,pro,alpha,jones,seeking,dji,threeyear,fund,investment,companies,thank,hedged,energy,information
45,spending,funding,congress,government,fiscal,lawmakers,extension,sequester,december,republicans,shortterm,tax,measures,highway,real,economics,republican,shutdown,planned,bank
46,fiscal,quarter,third,million,nine,net,months,compared,call,sales,occ,period,gross,markets,profit,decreased,conference,results,sga,share
47,million,quarter,fiscal,sales,fourth,increase,gross,profit,segment,human,products,health,basis,income,share,business,product,net,compared,okay
48,site,link,follow,banned,increased,isis,zero,cftc,heres,semi,policies,policy,speculators,actions,hedge,offer,cookie,net,nokia,affirms
49,gdp,tax,taxes,budget,federal,spending,pro,alpha,government,individual,seeking,deficit,income,relative,line,growth,billion,thank,past,increased
50,news,surplus,government,billion,budget,canada,fiscal,reuters,earlier,percent,run,deficits,deficit,finance,business,economy,plan,april,measure,canadas
51,news,billion,budget,reuters,measures,government,reais,business,subsidies,minutes,delayed,spending,cuts,thomson,information,cut,finance,revenue,credit,worlds
52,news,budget,reuters,billion,business,revenue,sources,minutes,delayed,spending,cuts,reais,thomson,information,finance,worlds,nasdaq,alerts,television,bridging
53,fiscal,million,customers,weve,cash,time,programs,commercial,quarter,customer,call,supply,agreement,financial,fourth,thank,existing,sales,thats,okay
54,pqe,rate,government,target,reserve,ior,balances,boe,central,bank,spending,qe,banks,table,omfg,operations,debt,pvd,policy,inflationary
55,percent,fiscal,growth,news,spending,economy,chinas,reuters,yuan,china,rose,economic,investment,august,local,trillion,yy,earlier,biggest,economists
56,spending,app,budget,help,personal,track,accounts,financial,free,mint,set,finance,credit,create,save,apps,time,easy,complete,finances
57,percent,news,sales,spending,production,factory,month,output,auto,retail,stores,data,july,economy,fed,reuters,market,manufacturing,drop,strong
58,news,rousseff,reuters,business,brazils,minutes,delayed,spending,government,reduction,announce,ministries,thomson,information,cut,finance,worlds,nasdaq,alerts,television
59,news,percent,reuters,bill,economy,fiscal,argentinas,budget,government,policies,primary,domestic,business,economic,minutes,delayed,compared,projected,markets,inflation
60,quarter,fiscal,fourth,million,revenue,dover,compared,gross,margin,margins,acquisition,contract,call,waller,pipeline,continue,weve,services,terms,increase
61,fiscal,million,fuel,business,school,revenue,growth,contracts,net,thats,literally,weve,cost,operating,increase,lot,results,bus,range,buses
62,fiscal,quarter,million,growth,sales,fourth,approximately,basis,business,margin,tonys,mean,earnings,operating,unfi,bit,fuel,net,little,call
63,quarter,fiscal,million,store,prior,fourth,sales,operating,increase,revenue,compared,expect,pricing,retail,earnings,cracker,call,information,initiatives,basis
64,news,government,mcconnell,bill,senate,reuters,leader,planned,business,fund,funding,minutes,federal,delayed,funds,agency,majority,thomson,parenthood,washington
65,quarter,fiscal,growth,nongaap,margin,million,operating,basis,currency,revenue,expect,business,compared,half,look,fourth,ultrasound,strong,thats,call
66,debt,government,money,monetary,sovereign,currency,countries,sovereignty,safe,country,governments,value,own,currencies,investment,economic,monetarily,sector,issue,private
67,investment,economic,news,government,corbyn,osborne,spending,boe,borrow,bank,reuters,money,labours,britains,britain,voters,times,finance,business,spend
68,economic,germany,fiscal,fed,european,risk,qe,ecb,german,eurozone,growth,policy,fomc,global,rates,central,inflation,economies,data,monetary
69,policy,monetary,economy,fiscal,yellen,inflation,fed,market,demand,result,rule,keynesian,cause,aggregate,money,offset,instrument,rates,shock,base
70,news,infrastructure,reuters,billion,bank,foreign,business,economic,fund,invest,sovereign,central,governor,growth,mobilise,projects,told,rahman,economy,issuing
71,fund,news,caisse,infrastructure,pension,mexican,percent,billion,ckd,im,mexico,reuters,manager,investment,energy,business,vehicle,world,minutes,invest
72,news,spending,democrats,measure,reuters,bill,defense,vote,senate,republicans,business,fiscal,minutes,failed,delayed,funds,appropriations,tax,government,thomson
73,news,reuters,spending,democrats,business,voting,minutes,bill,delayed,mutual,defense,vote,senate,thomson,republicans,information,finance,worlds,nasdaq,alerts
74,policy,economy,monetary,tight,fiscal,actually,tax,rates,fed,dont,pretty,markets,government,private,wed,rate,deficit,orcam,below,effect
75,news,brazils,reuters,budget,finance,business,key,levy,minutes,delayed,efforts,spending,growth,thomson,information,credit,worlds,nasdaq,minister,alerts
76,shutdown,debt,spending,limit,effect,federal,government,wed,deadline,extension,site,week,funding,house,authority,senate,bn,follow,link,banned
77,fiscal,million,quarter,revenue,business,billion,ems,customer,call,dms,growth,core,income,earnings,thank,segment,share,outlook,forbes,im
78,thu,government,permission,americans,site,follow,link,threat,time,banned,people,immediate,half,freedoms,military,rights,cuz,free,dont,federal
79,news,economy,market,consumption,government,business,ma,growth,reuters,chinese,alibaba,opportunity,drive,minutes,jack,delayed,spending,percent,investment,real
80,news,house,pelosi,reuters,business,distraction,minutes,delayed,spending,government,resignation,sept,boehner,thomson,information,budget,finance,worlds,step,nasdaq
81,news,reuters,business,minutes,delayed,spending,inflation,thomson,debt,brazil,information,finance,bank,worlds,nasdaq,alerts,television,natalia,digital,hay
82,quarter,spending,basis,consumer,gdp,personal,strong,reading,brought,pro,alpha,rate,growth,thank,seeking,data,expenditures,product,businesses,inventories
83,gdp,prices,oil,spending,low,jobs,consumer,energy,fomc,pro,alpha,coming,rates,rate,seeking,quarters,impact,economy,report,outlook
84,percent,spending,news,consumer,economy,inflation,reuters,rate,rose,fed,month,august,increased,business,quarter,investors,grew,earlier,report,key
85,percent,news,consumer,spending,data,fed,reuters,market,nasdaq,week,lower,york,shares,eminis,contracts,business,company,trading,dow,sp
86,spending,news,bill,congress,planned,conservatives,funds,parenthood,reuters,week,funding,obama,house,government,boehner,stopgap,business,fiscal,military,measure
87,news,rousseff,fiscal,reuters,brazils,business,economy,economic,structural,president,largest,difficulties,world,minutes,delayed,spending,agency,corruption,scandal,administration
88,news,rousseff,reuters,business,fiscal,minutes,delayed,united,thomson,nations,information,finance,allies,worlds,nasdaq,investors,alerts,television,dilma,plan
89,fiscal,season,pass,resorts,million,obviously,growth,strong,results,resort,market,perisher,seeing,city,business,sales,park,vail,utah,ski
90,sales,quarter,fiscal,million,products,tax,loss,expense,net,future,compared,stock,investment,preferred,company,deferred,accounting,prettybrook,growth,assets
91,fiscal,growth,latin,countries,prices,policy,chile,commodity,six,environment,policies,peru,america,crisis,financial,difficult,colombia,economic,larger,mexico
92,government,business,projects,company,contract,infrastructure,companies,investors,lot,example,spending,jobs,people,cities,sector,money,pro,alpha,thats,seeking
93,news,spending,billion,government,euros,capital,projects,reuters,tuesday,dublin,increase,cut,budget,average,business,plan,irish,economic,putting,minutes
94,news,bank,fiscal,reuters,percent,central,reserves,kenyas,njoroge,position,rate,governor,billion,treasury,july,exchange,budget,business,international,minutes
95,fiscal,million,sales,quarter,customers,expect,international,fourth,business,line,revenue,net,compared,additional,product,government,segment,call,believe,potential
96,news,bill,congress,spending,house,limit,speaker,fiscal,reuters,wednesday,government,issues,boehner,senate,debt,business,minutes,delayed,oct,tuesday
97,spending,news,capital,billion,euros,government,reuters,projects,increase,business,gradually,percent,dublin,growing,ireland,cut,budget,average,economy,plan
98,news,spending,house,senate,washington,budget,fiscal,mcconnell,obama,government,boehner,leader,negotiations,reuters,week,congress,wednesday,white,majority,john
99,percent,news,spending,consumer,economy,reuters,rate,inflation,fed,month,rose,investors,report,prices,august,increased,increase,business,quarter,grew
100,fiscal,gdp,figure,policy,nber,cbo,scale,source,tax,cuts,bea,budget,economy,gray,log,blue,calculations,authors,share,potential
101,trade,tpp,policy,vote,congress,balanced,public,fiscal,president,tpa,issues,negotiations,deals,democratic,political,deficits,time,real,agreement,july
102,percent,news,fiscal,gdp,billion,deficit,reuters,surplus,bulgaria,rose,finance,business,bank,levs,minutes,delayed,expects,period,compared,august
103,defense,news,spending,carter,obama,bill,billion,funds,budget,reuters,veto,war,national,policy,sought,pentagon,business,base,form,limits
104,news,spending,billion,rousseff,reuters,congress,delayed,vetoes,reais,judiciary,business,voting,brazils,president,minutes,bill,agency,wednesday,government,delays
105,news,oct,policy,reuters,japan,business,economic,week,minutes,delayed,monetary,japans,difficult,ease,thomson,yamamoto,boj,information,finance,static
106,news,budget,deficit,structural,valdes,reuters,spending,government,finance,business,balance,goal,bachelet,minister,minutes,delayed,percent,achieving,journalists,administration
107,news,spending,democrats,bill,republicans,military,funds,house,defense,reuters,measures,vote,policy,budget,business,ndaa,discretionary,minutes,delayed,obama
108,news,spending,bill,house,defense,budget,reuters,democrats,policy,republicans,business,voted,minutes,delayed,obama,funds,authorization,billion,thomson,passed
109,news,spending,percent,household,economy,reuters,august,increase,boj,bank,consumers,economists,market,forecasts,oct,government,sales,annual,consumer,ease
110,bebe,fiscal,shares,companys,stock,company,million,sales,share,time,liquidity,losses,guidance,bebes,trading,founder,pro,alpha,dollar,look
111,rousseff,news,fiscal,government,accounts,delays,reuters,impeachment,court,delayed,decree,ruling,ahead,tcu,rousseffs,public,business,lawmakers,brazils,strengthen
112,news,obama,congress,spending,house,bill,budget,fiscal,reuters,funds,government,white,republicans,christmas,business,president,minutes,delayed,barack,agency
113,news,infrastructure,osborne,funds,labour,billion,pounds,britain,government,policy,minister,pension,reuters,invest,manchester,finance,business,im,wage,british
114,budget,defense,spending,dod,northrop,fy,request,presentation,below,funding,systems,contractor,source,northrops,program,programs,air,force,dods,procurement
115,european,capital,infrastructure,cmu,funds,markets,companies,investment,insurers,pension,eu,bonds,insurance,market,pro,alpha,union,seeking,bank,investors
116,news,spending,bill,defense,senate,budget,democrats,military,reuters,obama,funds,authorization,vote,national,mccain,republicans,business,ndaa,passage,minutes
117,news,rousseffs,brazils,reuters,congress,raise,spending,accounts,government,vetoes,bills,billion,reais,business,attempt,rousseff,minutes,delayed,cabinet,wednesday
118,data,construction,manufacturing,spending,growth,ism,below,annualized,investment,time,billion,activity,investors,pro,alpha,prices,residential,basis,housing,fixed
119,news,reuters,spending,business,rousseff,minutes,congress,delayed,vetoes,thomson,uphold,information,finance,worlds,nasdaq,alerts,television,dilma,am,digital
120,news,reuters,business,minutes,congress,delayed,spending,government,vetoes,thomson,information,finance,worlds,nasdaq,alerts,television,dilma,digital,bolster,lawmakers
121,quarter,fiscal,thats,million,sales,little,aerospace,dont,story,actually,total,park,bit,compared,electronics,august,maybe,mean,talking,talk
122,spending,gasoline,prices,gas,data,study,consumer,jp,morgan,consumers,real,savings,individuals,report,households,lower,pump,americans,dollar,chase
123,policy,seeking,keynesian,economic,alpha,monetary,economics,qe,developed,produce,austrian,pro,government,policies,economies,bank,economy,produced,solution,apparently
124,quarter,million,fiscal,sales,beauty,business,foreign,continue,results,impact,call,compared,currency,product,growth,revenue,expect,healthy,savings,inventory
125,infrastructure,investors,percent,billion,clark,global,logistics,countries,seeking,regional,zone,spending,pro,alpha,freeport,investment,expected,attract,southeast,economic
126,news,fiscal,reuters,shutdown,drama,business,default,fed,minutes,congress,delayed,york,government,journalists,thomson,confidence,debt,information,nomiyama,finance
127,government,news,libya,unity,united,national,western,reuters,proposed,political,agreement,country,nations,business,allies,governments,international,minutes,statement,peace
128,spending,ministry,government,billion,projects,saudi,finance,news,budget,reuters,money,oil,cuts,bodies,arabia,sources,project,delayed,percent,cancelled
129,home,consumer,spending,depot,quarter,households,average,fiscal,worth,pro,alpha,liquidity,seeking,net,market,transaction,look,tickets,sales,thank
130,government,reforms,news,economic,sector,demands,reuters,tunisia,political,social,tensions,public,reform,minister,lenders,lack,international,urgent,raise,percent
131,trillion,news,sanders,reuters,breakingviews,spending,tax,business,revenue,cost,percent,government,bring,bernie,economy,taxes,free,minutes,indiviglio,market
132,news,reuters,spending,tax,spain,budget,finance,business,minutes,offset,delayed,including,security,revenues,social,thomson,deficit,regions,increased,cancel
133,fiscal,lightweight,quarter,products,sales,private,thank,business,dont,performance,earnings,oildri,china,label,product,market,lower,accounts,rate,benefit
134,news,berlin,refugees,reuters,gabriel,spending,stimulus,package,business,economy,minutes,delayed,germanys,thomson,increased,role,information,taking,finance,billions
135,percent,news,spending,growth,refugees,government,economy,reuters,rise,ministry,gabriel,expects,german,demand,consumer,domestic,business,main,berlin,largest
136,percent,news,economy,growth,government,ministry,reuters,markets,german,forecast,business,largest,respectively,minutes,delayed,spending,thomson,china,emerging,increase
137,news,spending,fiscal,economy,percent,reuters,lot,boost,mchale,council,tax,government,past,cut,finance,expansionary,business,irish,gdp,european
138,tax,news,sales,revenue,food,debt,spending,percent,rates,yen,reuters,lower,government,aoki,japans,hike,trillion,public,business,economy
139,walmart,news,fiscal,stores,business,percent,share,sales,earnings,company,grocery,reuters,market,dollar,markets,pickup,forecast,billion,chief,january
140,walmart,percent,stores,news,fiscal,business,price,markets,share,sales,shares,foran,reuters,drop,earnings,growth,billion,chief,january,company
141,news,pension,illinois,fiscal,payments,funds,delay,budget,reuters,munger,revenue,money,delayed,billion,cash,business,comptroller,bonds,largest,fund
142,million,business,quarter,fiscal,fourth,chemicals,sales,adjusted,ebitda,growth,compared,due,electronic,call,prior,creosote,lubricants,lower,restructuring,earnings
143,debt,treasury,congress,limit,budget,spending,payments,government,cut,federal,default,ceiling,money,pay,house,deficit,cash,spend,nov,run
144,government,fiscal,economic,fitch,debt,outlook,negative,political,site,bbb,brazils,growth,brazil,follow,link,banned,policy,international,recession,risks
145,government,thu,americans,believe,site,corruption,time,people,follow,link,banned,legal,dont,corrupt,system,control,power,financial,fear,citizenry
146,billion,news,budget,deficit,fiscal,percent,treasury,reuters,domestic,business,month,federal,spending,surplus,government,financial,debt,borrowing,lowest,earlier
147,sales,quarter,fiscal,million,fourth,currency,product,net,wd,business,margin,foreign,gross,results,exchange,call,rates,due,cost,growth
148,gdp,crisis,fiscal,policy,permanent,effects,trend,evidence,paper,pro,alpha,growth,seeking,debt,using,world,summers,monetary,larry,look
149,financial,policy,fiscal,initiatives,money,rates,zero,monetary,stimulus,impact,economist,recovery,hedged,dictum,benefits,government,stability,opinion,federal,efforts
150,news,policy,fiscal,reuters,euro,expansive,nowotny,business,bank,economic,zone,minutes,delayed,interview,ewald,thomson,information,finance,policymaker,worlds
151,news,fiscal,reuters,business,minister,barbosa,paulo,minutes,delayed,target,government,thomson,information,budget,finance,worlds,nasdaq,planning,alerts,television
152,news,fiscal,illinois,fitch,budget,reuters,delayed,rating,result,business,credit,level,minutes,bbbplus,impasse,thomson,information,finance,revenue,due
153,mon,budget,fiscal,illinois,site,spending,billion,deficit,pension,follow,link,banned,current,chicago,enacted,debt,balance,economic,gap,america
154,sales,fiscal,quarter,million,weve,continue,business,stores,company,initiatives,system,share,growth,rate,basis,positive,look,slide,question,talk
155,government,news,energy,liberal,reuters,investment,markets,trudeau,conservative,uncertainty,business,economy,canada,plan,infrastructure,international,sector,minutes,stocks,market
156,government,news,libya,unity,armed,national,reuters,tripoli,deal,un,rejected,elected,libyas,parliament,lawmakers,recognized,gnc,proposed,house,former
157,spending,economy,gdp,economic,fiscal,billion,stimulus,counterfactual,study,form,discussed,infrastructure,resources,figure,tax,half,government,instead,slightly,financial
158,etf,spending,performance,ad,tv,asset,rose,quarter,hub,networks,class,scripps,sni,nyse,yield,broadcast,flat,nysesni,dis,screener
159,dividend,psecs,fiscal,distributions,psec,cumulative,nii,quarterly,test,net,companys,ratio,quarter,icti,balance,undistributed,reference,million,uti,fourth
160,fiscal,impeachment,cunha,president,political,nato,war,site,rousseff,wed,follow,link,request,inflation,banned,future,accounts,house,time,govt
161,commission,news,fiscal,european,eu,euro,governments,zone,board,reuters,national,budget,finance,business,international,minutes,delayed,proposed,budgets,body
162,monetary,policy,growth,euro,inflation,economic,draghi,qe,site,thu,annual,demand,quarter,follow,link,governing,rates,rate,banned,risks
163,fiscal,policy,bank,dominance,brazils,rates,inflation,brazil,central,economist,monetary,debt,economy,economic,level,percent,government,rate,time,debate
164,fiscal,myths,government,money,campaign,mainstream,agenda,economic,memes,smith,book,truths,social,policy,deficit,media,debt,firestone,attacks,joe
165,margin,fiscal,growth,revenue,margins,company,expansion,investments,following,online,operating,range,edus,economy,yy,lead,oriental,edu,education,eps
166,quarter,rd,fiscal,product,contract,million,nve,sales,revenue,company,corporation,expense,eps,business,decrease,compared,half,management,technology,internallyfunded
167,news,budget,federal,uae,spending,reuters,emirates,oil,prices,billion,business,international,minutes,delayed,agency,cabinet,slightly,arab,individual,thomson
168,infrastructure,canada,investors,spending,billion,liberal,construction,party,transit,coming,government,price,flyer,canam,projects,election,montreal,million,inc,sector
169,news,fiscal,reuters,spending,billion,deal,business,source,minutes,congress,delayed,thomson,rise,information,domestic,budget,finance,worlds,nasdaq,alerts
170,news,spending,fiscal,reuters,deal,business,source,minutes,congress,delayed,according,billion,thomson,rise,information,domestic,budget,finance,worlds,nasdaq
171,news,house,spending,debt,ceiling,reuters,meadows,mulvaney,late,ryan,federal,government,extension,leaders,current,business,mark,stop,borrowing,boehners
172,percent,news,spending,business,month,august,quarter,reuters,capital,aircraft,reported,third,production,core,dollar,decline,companies,plans,fell,data
173,budget,news,spending,debt,fiscal,congress,house,deal,limit,reuters,ryan,government,billion,added,told,cuts,white,boehner,fellow,additional
174,growth,tal,expansion,margin,edu,fiscal,education,yy,tals,quarter,company,lower,valuation,asps,prefer,pe,acceleration,line,top,moment
175,spending,news,budget,fiscal,deal,debt,congress,house,ryan,limit,billion,added,told,reuters,government,cuts,boehner,reporters,fellow,additional
176,quarter,fiscal,prices,market,volumes,fourth,inventory,performance,operating,impact,average,business,ferrous,earnings,results,nonferrous,sales,lower,steel,significant
177,news,bndes,government,billion,debt,fiscal,reais,rousseff,reuters,debts,sources,delayed,accounts,banks,deficit,treasury,finance,business,accounting,minutes
178,news,billion,fiscal,budget,reuters,deal,business,pension,minutes,delayed,spending,health,agency,revenues,deficits,thomson,deficit,care,increase,cbo
179,oil,budget,news,baghdad,billion,iraqs,spending,government,weapons,zebari,forces,reuters,percent,iraq,military,crude,pay,islamic,revenues,national
180,news,fiscal,brazils,reuters,fitch,budget,government,rating,cut,business,minutes,record,burden,delayed,agency,accounts,growing,concern,billion,primary
181,spending,government,growth,measure,federal,budget,gdp,economy,economic,congress,cuts,time,real,economics,nonsense,increase,comments,discretionary,news,governments
182,quarter,growth,little,bit,fiscal,loan,portfolio,mortgage,expect,call,commercial,rate,weve,net,basis,thats,conference,earnings,maybe,comments
183,quarter,growth,third,spending,economy,investment,rate,rose,grew,economic,federal,drop,annualized,strong,exports,firms,pace,slowdown,inventory,economists
184,growth,policy,bank,economy,fiscal,percent,economic,reuters,rates,canada,inflation,quarter,infrastructure,canadas,outlook,forecasts,canadian,oil,half,result
185,million,fiscal,revenue,product,business,digi,gross,etherios,margin,customers,performance,bluenica,operating,growth,products,compared,quarter,weve,provide,margins
186,baidu,spending,billion,investors,percent,company,revenue,online,aggressive,baidus,shares,tieup,ctrip,search,pro,alpha,qunar,yuan,share,buyback
187,news,budget,spending,bill,congress,republican,president,reuters,money,obama,government,senate,washington,savings,business,presidency,default,military,measure,minutes
188,news,reuters,source,government,yen,budget,finance,business,fiscal,minutes,delayed,spending,plans,thomson,information,govt,japan,domestic,farmers,due
189,percent,spending,news,rose,consumer,september,index,august,months,labor,month,personal,gain,rate,inflation,data,business,quarter,report,reuters
190,news,budget,spending,congress,republican,bill,obama,president,reuters,money,house,government,senate,washington,savings,business,presidency,default,military,measure
191,boj,spending,government,inflation,yen,percent,kuroda,bank,qe,rising,policy,debt,pressure,japans,central,japanese,due,economy,fiscal,gdp
192,oil,saudi,news,growth,reuters,spending,percent,prices,governments,market,government,budget,arabia,fiscal,gulf,monetary,uae,business,economists,low
193,policy,china,japan,news,bank,monetary,percent,growth,population,economic,chinas,rates,inflation,hole,plan,fiscal,peopleshaped,reuters,chinese,central
194,million,quarter,fiscal,revenue,growth,operating,forma,pro,merger,cash,sales,call,endosheath,pc,customers,urgent,results,ago,period,team
195,growth,market,solaredge,fiscal,company,following,solar,commercial,sector,cost,penetration,expansion,weakness,due,product,line,bottom,strong,share,months
196,policy,markets,policies,policymakers,growth,site,follow,monetary,tue,link,banned,global,future,assets,world,singer,financial,wealth,failure,governments
197,spending,month,money,youre,card,credit,life,review,time,doing,category,look,simple,charges,transaction,financial,statements,savings,bank,step
198,million,fiscal,revenue,business,currency,quarter,market,blood,growth,constant,officer,chief,customers,disposables,software,teg,plasma,markets,guidance,executive
199,news,reuters,billion,business,ep,minutes,delayed,spending,capital,thomson,ceo,information,finance,company,worlds,nasdaq,alerts,television,digital,briefdevon
200,fiscal,quarter,expect,growth,qtl,billion,chinese,sales,continue,oems,business,agreements,products,device,approximately,guidance,progress,market,share,terms
201,million,quarter,fiscal,business,market,fourth,oled,approximately,service,sales,compared,revenues,call,cash,lower,strong,revenue,panel,tv,period
202,quarter,million,fiscal,growth,distributors,revenue,compared,lifevantage,business,plan,call,expect,results,convention,sales,japan,company,based,fourth,product
203,million,quarter,fiscal,president,michael,sargent,officer,hartnett,chief,business,executive,rbc,chairman,period,compared,aerospace,sales,call,margins,net
204,government,socialists,news,left,parliament,reuters,leftist,talks,business,minister,am,week,friday,prime,vote,election,ousted,deal,budget,portugal
205,million,fiscal,project,earnings,production,access,pipeline,gas,prices,capital,development,slide,northern,seneca,call,yes,time,thats,okay,price
206,government,left,socialists,news,parliament,communists,business,minister,am,form,reuters,week,leftist,bloc,prime,majority,election,budget,portugal,coalition
207,million,fiscal,continue,safety,earnings,capital,rate,share,strategy,market,growth,thank,system,pipeline,atmos,maintenance,remain,plan,income,customers
208,growth,quarter,business,broadridge,revenue,fiscal,sales,earnings,strategy,call,guidance,recurring,acquisition,adjusted,longterm,market,acquisitions,closed,continue,including
209,fiscal,quarter,million,rguest,revenue,business,compared,lms,solution,subscription,growth,net,period,cash,infogenesis,solutions,adjusted,total,results,increase
210,quarter,fiscal,margin,million,revenue,compared,dover,project,services,acquisition,margins,contract,call,business,backlog,gross,loss,question,companys,growth
